<<<<<<< HEAD
;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;parameters full;emptied;log parameters
b2891a096d2f1aec6defd2d7a6d8adcb;RoW;SSP5-Base-2030;b2891a096d2f1aec6defd2d7a6d8adcb;market for heavy fuel oil;heavy fuel oil;kilogram;0.11962903365923121;0.0002844867027344097;0.004221496942817116;2.5070370787642305e-09;4.469110426774074e-10;5.327974529477916e-14;1.953143868570003e-09;4.974462465637372e-12;1.2677690260595842e-12;2.0570615441626723e-11;2.5598701688969273e-11;1.1424372424631414e-13;6.227832392011773e-11;3.6775599622457035e-10;6.214291865890134e-16;1.3889560393671978e-11;6.466819121961975e-07;9.228573987900237e-08;4.622791575899101e-08;3.840791390117582e-11;7.439573927628362e-11;4.5231814060535946e-07;2.1366562820402066e-09;2.2840609442298238e-09;0.485342535018889;0.002836759527755976;2.882667595835254e-09;1.2420467988974078e-06;0.4881792945605346;;;
cc2454f46821f947cb7bb560a7dd43bf;GLO;SSP5-Base-2030;cc2454f46821f947cb7bb560a7dd43bf;market for rye seed, for sowing;rye seed, for sowing;kilogram;0.7597497196799896;0.0008147842154341125;0.0014600422155814862;7.964846521103337e-09;9.71878063000985e-10;5.856324101007558e-14;2.1435682134195683e-09;2.966435279592693e-11;6.151412094524491e-12;1.3501197782178696e-10;1.5539992364154703e-10;7.38924949804747e-12;2.2862023065499705e-08;2.826727587689106e-10;6.734073096235052e-14;1.5051323140928906e-09;7.108091103899279e-07;1.3611842742392717e-07;5.094214855226066e-07;1.2238345293735768e-10;4.6788056888882315e-09;7.182718494127331e-07;1.920514954017882e-09;2.47510636555789e-07;0.05743828070586934;0.0035955554205333974;2.6593872718141183e-08;2.328849162913884e-06;0.061033837631535054;;;
ad0679625ef2b061dae0dfd5830b5c7a;GLO;SSP5-Base-2030;ad0679625ef2b061dae0dfd5830b5c7a;market for wheat grain, feed, organic;wheat grain, feed, organic;kilogram;0.2770993963052359;0.0004548677450086924;0.001030262648859132;3.1652909733766637e-09;3.3028004720860093e-09;4.143412057430136e-14;1.5163936349507368e-09;1.3494689428579283e-11;2.8056984124821004e-12;4.4122985884919677e-11;1.2616391376480394e-10;1.0181213781299865e-11;1.7094932066690213e-08;2.9414393163507226e-10;2.7298645597704212e-14;6.10151880338901e-10;5.030093254346079e-07;8.400322494366378e-08;1.5737687745706595e-06;4.9082873631009474e-11;4.8765404741377965e-09;1.4864331189160572e-06;2.0237424456722124e-09;1.0033608267151504e-07;0.02911089246731504;0.0021266113444943025;2.240510574390982e-08;3.754499347271983e-06;0.03123750442196122;;;
8aeca673cf07d3ada8ffee43541c3688;GLO;SSP5-Base-2030;8aeca673cf07d3ada8ffee43541c3688;market for electrode, negative, LiC6;electrode, negative, LiC6;kilogram;18.188779593565506;0.03684047110725462;0.012990373829037352;1.5677740114613478e-07;6.56700332685641e-09;5.435720100916518e-13;1.9901956314100087e-08;5.63909053649338e-10;1.0940245779993055e-10;6.189555739294001e-10;2.3942320438855208e-09;4.524006601069503e-12;1.07209816965934e-09;1.90414882373338e-09;4.415981488659489e-14;9.87015784062915e-10;6.594774867780454e-06;2.8191932328751083e-06;2.406321544718121e-06;2.429277930280746e-09;9.99858136644698e-10;6.707356129995943e-06;1.3013655773806966e-08;1.6230925528381573e-07;0.4001754557828639;2.568743781492163;3.313677332963901e-08;1.87063833933272e-05;2.968919238262043;;;
e8146dfec94548abbdc0298edcf9098d;World;SSP5-Base-2030;e8146dfec94548abbdc0298edcf9098d;market for oxygen, liquid;oxygen, liquid;kilogram;0.12151187347144485;0.00026559877517654527;0.0002595746180538529;2.865399116213621e-08;2.780588283047457e-10;6.819956663948632e-14;2.4972056922582737e-09;1.4620193496906702e-11;2.960257422977509e-12;1.3375441696493766e-11;2.562947654049985e-10;4.273037091824539e-14;7.634373080856586e-11;1.1985091573774543e-10;1.4966734598699458e-14;3.3452140419368476e-10;8.274358502297399e-07;1.30666510307873e-07;1.3422727057169173e-07;4.5583803487990204e-10;9.736111756422857e-11;3.296119505850981e-07;8.222541456712219e-10;5.5010184100269993e-08;0.029356397518221174;0.0006616057496481105;3.258835052265277e-09;1.4783270252399631e-06;0.03001800360239068;;;
14925d340289f8d9800e4c0c91119632;RoW;SSP5-Base-2030;14925d340289f8d9800e4c0c91119632;market for iron sulfate;iron sulfate;kilogram;0.4155940327566608;0.00030189180541495553;0.00035264038045962044;6.847951954468839e-09;1.8517137607587522e-10;1.9096929201720054e-14;6.992272507667825e-10;2.604838949292505e-11;5.301587379417001e-12;6.63502460395826e-11;8.127620566479878e-11;1.3475549179436147e-14;8.225673271072349e-11;7.662393121147204e-11;7.122758444048953e-16;1.5920073551933823e-11;2.3169345220301366e-07;1.1494126113569546e-07;1.4669421221488535e-07;1.0761917133506077e-10;3.612581953310607e-11;2.1169944592155506e-07;5.220783315157526e-10;2.6179675381090366e-09;0.013753330234650519;0.0016510411400834542;1.22228820042853e-09;7.083119029941928e-07;0.015404371390654047;;;
2f890c11604dc1b16ea8cd5e455bf8c8;GLO;SSP5-Base-2030;2f890c11604dc1b16ea8cd5e455bf8c8;market for battery, NaCl;battery, NaCl;kilogram;16.38577935730863;0.20196938476182125;0.12071087913504808;4.151636980948645e-07;6.542454480172656e-08;5.662051628311691e-13;2.073013526297353e-08;3.153669525154066e-09;6.342710647090671e-10;8.572343561781671e-09;5.175193135669392e-09;1.5182774094782983e-12;2.0859077148800623e-09;2.9912406516721132e-09;2.2410545034406711e-13;5.008979710448652e-09;6.869419011072152e-06;9.189201190976349e-06;1.630127995780429e-05;5.9196324896529745e-09;1.848753912579026e-09;5.8127202347917096e-05;2.0264057790657575e-08;8.236988502737466e-07;0.5308437862284296;0.3655670011240052;1.0876954004012824e-07;9.133880939872164e-05;0.8964107923614146;;;
9e9c0105e64eb9c9127d52cf4115da9c;GLO;SSP5-Base-2030;9e9c0105e64eb9c9127d52cf4115da9c;market for mint;mint;kilogram;0.9322117240335984;0.0003054009360033029;0.0006802614290522188;2.0686252035643534e-09;8.987854854574474e-10;2.8560008165763726e-14;1.0454884272833696e-09;1.1234350476519773e-11;2.503166161935572e-12;6.889163215974935e-11;6.593375552620538e-11;1.4661004527493988e-12;5.205279382523276e-09;2.109168792640012e-10;7.158427452986743e-14;1.5999797334549052e-09;3.466339713097593e-07;5.8825029898410086e-08;-7.974573802912625e-09;3.164290763254133e-11;1.3635952447451872e-09;5.340226174051575e-07;1.4511539034540956e-09;2.6310776706860673e-07;0.024482538797519396;0.001401187298032504;7.510595958899709e-09;1.1974600880021034e-06;0.02588372769553163;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.\n\nThe time the reefer is in operation is calculated using different average speed of all the different modes of transport (train, lorry, ship, etc.). This parameter presents an additional time during which the reefer is in operation, but is not being transported; the time when the reefer is being transfered from one type of transport to another. ', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;
2a484ad3fb21bbebd8fb7fc24da60985;GLO;SSP5-Base-2030;2a484ad3fb21bbebd8fb7fc24da60985;market for nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX;nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX;kilogram;650.1389109157973;3.503487600976047;1.888506115762231;0.06130868513854107;1.8978432499880264e-06;1.1394101814829242e-10;4.171541078897395e-06;1.9177924389984412e-07;4.330262622243453e-08;1.1523027592041895e-06;6.332526844587726e-07;7.161842080914894e-09;2.7166589284386316e-07;1.1463689624139384e-06;2.4255557520072878e-11;5.421358351487397e-07;0.001382359691869033;0.001822074572545352;0.006763999870681182;0.0020249143066581096;4.252367400283281e-07;0.004337551142273835;7.857508539585298e-06;8.915122238820498e-05;131.31625203772688;74.71672437019807;9.51534331988731e-06;0.016428329290882636;206.0329769500608;;;
03b231366e77e6098923422bd42a28e1;GLO;SSP5-Base-2030;03b231366e77e6098923422bd42a28e1;market for petrol, two-stroke blend;petrol, two-stroke blend;kilogram;0.15958995113392235;0.00041884291512200535;0.0061203633139733146;4.664754511810533e-09;8.245572351989833e-10;8.014666070966805e-14;2.9370979059481357e-09;7.816513377976483e-12;2.0107905636904584e-12;4.3060418876769716e-11;4.461263646028021e-11;1.4410334038600422e-13;7.998498264269009e-11;4.769857390371014e-10;1.0559932348469216e-15;2.3602499089595644e-11;9.726709232993115e-07;1.1676499318398407e-07;7.714694850627564e-08;6.473541470007779e-11;1.408373481350217e-10;8.157571448678013e-07;2.7577344150030156e-09;3.88129968327337e-09;0.5417908235830489;0.006012754157489587;4.41634969245989e-09;1.989184028348064e-06;0.5478035777641409;;;
