;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;log parameters
8e2bb99b8f164563861ed931b6a60a45;World;SSP5-Base-2050;8e2bb99b8f164563861ed931b6a60a45;market for cement, unspecified;cement, unspecified;kilogram;0.22090369607901056;0.00027196998448334765;0.0003913478242975258;1.1008846832253007e-09;2.2413787491837352e-10;6.535491747315134e-14;2.3923434042676236e-09;9.29836867601107e-12;2.086982387885653e-12;4.5008257805931735e-11;5.0717792409461905e-11;1.2628651219192939e-14;7.430373348972346e-11;1.334407799308427e-10;9.315932316543439e-16;2.0822035290010664e-11;7.928364497877126e-07;5.043125208836589e-08;8.862556047212381e-08;1.764219574663234e-11;2.7192227314715008e-11;2.4722470275427773e-07;9.097736766195099e-10;3.4240678781278093e-09;0.023362848165426584;0.001767931749548275;2.931414667178356e-09;1.1834961920541175e-06;0.02513077993579689;
4537fa8ee7e18b21c571c30954ef90c2;GLO;SSP5-Base-2050;4537fa8ee7e18b21c571c30954ef90c2;market for potassium permanganate;potassium permanganate;kilogram;1.6467662737907083;0.001899240838167534;0.0022107868424838893;1.581598975021716e-08;7.442348749754701e-10;1.174813109081642e-13;4.301319187568174e-09;7.802423119945717e-11;1.6094851288633584e-11;2.2143984321774858e-10;4.2633181672124347e-10;7.709577460781084e-14;5.666660733546734e-10;3.572076793679092e-10;6.816884219962804e-15;1.5236414238853977e-10;1.425310836841215e-06;4.255231505489883e-07;4.7532537946720773e-07;2.54757003719193e-10;2.259271156308554e-10;8.537059415540157e-07;2.4102011443646027e-09;2.5055435670180513e-08;0.1058098331300388;0.013543936159933935;6.711505738509033e-09;3.207806964735071e-06;0.11935376944233687;
4d635ac04223c7ac10aa03a6fefb6411;GLO;SSP5-Base-2050;4d635ac04223c7ac10aa03a6fefb6411;market for dried roughage store, non ventilated;dried roughage store, non ventilated;cubic meter;1172.7078730571416;0.16077775958054202;0.1744064172369349;2.9026598955669507e-07;9.987553424088323e-08;6.814230588089292e-12;2.4945436403116907e-07;2.092668336555113e-08;4.126744710452528e-09;3.655412358346888e-08;3.0130340015124814e-08;1.6016143297456836e-11;6.208529399792318e-07;2.414015047274598e-08;2.3573185336960343e-13;5.268841381688687e-09;8.267259487006092e-05;8.180822840235362e-05;0.00010716583904317624;4.516385684471466e-09;1.1877057127694508e-08;0.00010888193639187341;1.6227245955228675e-07;8.664316565943895e-07;3.4995331524075226;1.3054971681064007;1.086083414667183e-06;0.00038157352293937633;4.805030325782765;
7075675b46724f0d43360996e9a0a4c5;GLO;SSP5-Base-2050;7075675b46724f0d43360996e9a0a4c5;market for peat moss;peat moss;cubic meter;5.275044737833892;0.003532832501150328;0.00993666967369526;6.219700420888538e-08;2.1858936729457765e-09;9.660042322705779e-12;3.5345159065061906e-07;2.1282959146155836e-10;4.5136894479073487e-11;8.860752408126316e-10;1.4416444597699177e-09;2.728917932877533e-13;2.6266685189737044e-07;1.7235795293655073e-09;9.10119399946419e-15;2.0342073793467652e-10;0.00011716945175841365;1.034051391159707e-06;1.18608817498568e-06;1.0061758312775885e-09;7.602818693184236e-10;2.92275869798068e-06;1.17214985529032e-08;3.3451408798703667e-08;0.3007633256531883;0.01403072111993017;6.226235223962004e-07;0.00012235928752873509;0.3147940469765392;
612a9183c7bac2685fb87a699974c8aa;GLO;SSP5-Base-2050;612a9183c7bac2685fb87a699974c8aa;market for helium;helium;kilogram;1.82090299326287;0.005065115107016299;0.03645349989928985;3.318227907109271e-08;2.715411957651719e-09;7.521924576346995e-13;2.756908904597824e-08;1.1961820095588874e-10;2.520036300479863e-11;2.0609855237333118e-10;1.0429708497981194e-09;1.980328390504589e-13;8.191332081354671e-10;3.22976148040979e-09;1.2849797850574417e-14;2.8720576236800976e-10;9.129158588521093e-06;2.0725869631092403e-06;7.531470055363311e-07;5.261372677043855e-10;1.1586634901543575e-09;3.0659481648967288e-06;1.815140293324267e-08;4.7229390001528866e-08;5.369019180105187;0.05189841223839366;3.572804295198887e-08;1.5087838973785755e-05;5.420917592630786;
d6fab41b5e2cf27dc492ebc8f875761f;GLO;SSP5-Base-2050;d6fab41b5e2cf27dc492ebc8f875761f;market for trimethyl borate;trimethyl borate;kilogram;1.057066327378237;0.006076113503180517;0.004883575712780544;7.99268710679881e-09;2.644225723077854e-09;2.167200179635995e-13;7.936022609635843e-09;1.7192525856501023e-10;3.462723058396469e-11;3.8796384564775194e-10;4.2308231639464624e-10;9.19479573806414e-14;5.328065820649893e-10;9.47129790348821e-10;1.0961418413742642e-14;2.449986037728184e-10;2.6294358642043423e-06;4.828093217604018e-07;1.0574180648142768e-06;1.259339380432507e-10;2.7777125642362423e-10;2.5672006491886824e-06;6.214102677014502e-09;4.0288657553429805e-08;0.44835246842932824;0.01579954893149893;1.3078097713100778e-08;6.7837686952054985e-06;0.4641520176058258;
b174d4a88624f143a5f6eefff6697b66;GLO;SSP5-Base-2050;b174d4a88624f143a5f6eefff6697b66;market for fibre, flax;fibre, flax;kilogram;4.963228772087122;0.0008238015124060328;0.001582942458813625;4.253304832641131e-09;4.32984767730074e-09;1.281428916905069e-13;4.690304692142668e-09;5.46899215775315e-11;1.0085993220460968e-11;1.691741677902429e-10;2.5951288103237907e-10;8.3528068542293e-12;3.41298205210978e-09;7.422816023423607e-10;2.9984403252445396e-13;6.701812351766644e-09;1.5553060994380807e-06;2.309730248460818e-07;-4.992118602981296e-07;6.45241385027077e-11;7.376446158087649e-09;2.3626423124427253e-06;5.115762172587012e-09;1.1020757615339057e-06;0.060624201379294626;0.004277467043317588;1.3677641627514613e-08;4.764336048790805e-06;0.06490167512442456;
fbab3177434d78b701a6182d3407868a;RoW;SSP5-Base-2050;fbab3177434d78b701a6182d3407868a;market for sawnwood, lath, hardwood, dried (u=20%), planed;sawnwood, lath, hardwood, dried (u=20%), planed;cubic meter;209.31116378328935;0.24732674586892245;0.3781448097409264;7.8767554229278e-07;6.228228032180437e-08;1.4458559677634833e-11;5.293023212395209e-07;2.6903688403283583e-09;6.892519782772612e-10;3.100028737153701e-08;3.174758655672206e-08;9.066621879433652e-12;7.708953025180917e-06;6.637592072709884e-08;4.2882898974769087e-13;9.584754434131686e-09;0.00017540785601957915;3.691778342923889e-05;2.525632326378562e-05;1.2675968750039453e-08;3.051877994088002e-08;0.00012352832360887657;4.359285098894611e-07;1.5761595502336977e-06;8.212549051073328;0.6557525734476175;8.433052604055808e-06;0.0003631614673704754;8.868301634105698;
e44d6f6a676cdfff45f5b9eece638152;GLO;SSP5-Base-2050;e44d6f6a676cdfff45f5b9eece638152;market for silicon, electronics grade;silicon, electronics grade;kilogram;16.23957311064271;0.05230057395668823;0.041402922352955826;1.1706905378099343e-06;2.0993738711729124e-08;5.567230749177172e-12;2.0382335288122554e-07;1.2356364131435765e-09;2.520608825753382e-10;1.1567815218766565e-09;2.1955232216400313e-08;3.974982109522683e-12;1.3800985160364553e-08;9.64181843894518e-09;1.4577079208208634e-11;3.2581221866500194e-07;6.754252701844894e-05;1.16950967957812e-05;1.0433755414027413e-05;1.8481312395123243e-08;1.204614790423659e-08;2.3774555581715338e-05;6.418066980639416e-08;5.3578006986069994e-05;4.503938567332467;0.16528177571109326;2.728802563938261e-07;0.00016711750257009678;4.669220668855778;
806de3a20a6aad4f41b3df84b530bbb0;GLO;SSP5-Base-2050;806de3a20a6aad4f41b3df84b530bbb0;market for nuclear fuel element, for pressure water reactor, UO2 3.9% & MOX;nuclear fuel element, for pressure water reactor, UO2 3.9% & MOX;kilogram;643.5313794681774;3.679700665225294;1.8928249199072749;0.061036261566071615;1.6263188569086506e-06;1.1080858593919843e-10;4.0568179295159676e-06;1.902893265747526e-07;4.2982157954129445e-08;1.1557619717541073e-06;5.339250501309667e-07;7.154441766715288e-09;5.306437998001211e-07;1.1646181989516792e-06;2.2925876299815668e-11;5.124161373751809e-07;0.0013443520223733255;0.0017964983971260806;0.006736276915496973;0.0020273078873350907;4.239523353635809e-07;0.0040867061863992405;7.989450493385506e-06;8.426398340907743e-05;129.1673702145959;74.72444840765004;9.308631973339775e-06;0.016083814440156777;203.89181913466211;
