;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;parameters full
326c6c87b737f685fe19c80ac69cceb5;RoW;SSP5-Base-2040;326c6c87b737f685fe19c80ac69cceb5;market for woven bamboo mat;woven bamboo mat;kilogram;1.6125254343340507;0.0006024701466636792;0.0005750418596231048;8.993015457112114e-09;4.177413990054994e-10;7.140721124193171e-14;2.6139009898259127e-09;6.135850457362708e-11;1.225354582670157e-11;1.1579543416694785e-10;1.503229962599315e-10;3.528940478718381e-14;2.892021237581231e-09;2.0402938239347843e-10;2.2338065163639166e-15;4.992779738447382e-11;8.664026088261973e-07;4.786817357740722e-07;3.144154776668068e-07;1.369682448458574e-10;4.1649442997034414e-10;4.857341752591343e-07;1.3341433897815822e-09;8.210348549926162e-09;0.024857289755149878;0.0056234431120642326;6.467529101593878e-09;2.155330878428539e-06;0.030480732917141908;
223f6be222ab4d6aec8ac4ea00f2d1b7;GLO;SSP5-Base-2040;223f6be222ab4d6aec8ac4ea00f2d1b7;market for wheat grain, organic;wheat grain, organic;kilogram;0.1827100568265529;0.0003002540716168299;0.000880391542726024;1.0892131149410435e-09;3.2195220987823086e-09;3.620218228770551e-14;1.3248264401679368e-09;9.912907294184144e-12;2.0362792419034825e-12;2.6803419220561842e-11;1.1489508275996556e-10;1.0177866395758919e-11;1.7098546527650966e-08;2.4157873289105335e-10;2.712009268679951e-14;6.061610451914736e-10;4.395324858907274e-07;6.982159231483594e-08;1.5531307848412878e-06;1.6873585292247683e-11;4.864659718346734e-09;1.3976826566506424e-06;1.6622039519352857e-09;9.967981203106688e-08;0.022474645250048303;0.0017958242348954747;2.2048361178079776e-08;3.5663905549758253e-06;0.02427047009110482;
211b60ae9a5935c893398ff31d5de84e;RoW;SSP5-Base-2040;211b60ae9a5935c893398ff31d5de84e;market for polyvinylidenchloride, granulate;polyvinylidenchloride, granulate;kilogram;1.8478392387159226;0.000511448880901482;0.593311550420567;1.5698458150467202e-09;4.729146423937478e-09;4.1233089147204363e-13;1.5099891252103718e-08;8.754126446764565e-11;1.8553050506936423e-11;9.752799060647448e-11;3.022673943457992e-10;8.511563749986021e-14;8.084107811268577e-11;1.460626287532321e-09;3.4187906709949807e-14;7.641337182560107e-10;5.002557049040318e-06;2.7313897411310726e-06;5.786459683782434e-07;2.2509077939285475e-11;3.010955339466656e-08;5.546279708968085e-06;9.78464320314943e-09;1.2565753937272443e-07;0.5133078362093528;0.0023220254899956436;2.1876925385508256e-08;1.4024446506584581e-05;0.5156298624634822;
83fda3cac6a5669a5091e0815e8dc80f;GLO;SSP5-Base-2040;83fda3cac6a5669a5091e0815e8dc80f;market for yogurt, from cow milk;yogurt, from cow milk;kilogram;1.8574052765285534;0.013677003113768437;0.0017826073912973132;9.440225275939974e-09;2.512426013829645e-09;1.5800475637385712e-13;5.784142370723514e-09;7.232093195473359e-11;1.2076326503653567e-11;2.106017126548145e-10;2.623841585446189e-10;3.1212990616131237e-12;7.372005259561957e-08;3.561790011952875e-10;3.949597661652696e-14;8.827743600738144e-10;1.9182425922878345e-06;2.9177926689383027e-07;3.2040781302239407e-07;1.480000729065369e-10;5.387358462056572e-09;1.5126366716884464e-06;2.4037131723163266e-09;1.451673329654621e-07;0.07148436893912138;0.005408462407862292;8.29272049158526e-08;4.194085812280748e-06;0.07689283222975804;
4fa7d0ace170362f96ca12aa3152091f;GLO;SSP5-Base-2040;4fa7d0ace170362f96ca12aa3152091f;market for jatropha seed;jatropha seed;kilogram;0.8838247663385349;0.0008067825940532545;0.0016329801553980913;4.4336859592321845e-09;6.336347834036247e-09;1.1194019721690981e-13;4.097250152706339e-09;4.18181526118477e-11;8.41969428635275e-12;1.9053425349828792e-10;4.708622060103314e-10;2.055545369337971e-12;2.5190007664360338e-08;3.438632501168823e-10;4.3435063177172096e-14;9.708168625193372e-10;1.3587935844385e-06;1.9901370927105323e-07;4.154385717301717e-07;6.935543595167175e-11;1.0528430231431487e-08;2.857834093921403e-06;2.3144801078020412e-09;1.596454327446095e-07;0.08104792529352453;0.005659214195576326;3.6681269475594355e-08;5.003622844318622e-06;0.08670714045991773;
d8e765ad693d6328c69b411f2b8cb3e7;GLO;SSP5-Base-2040;d8e765ad693d6328c69b411f2b8cb3e7;market for iron sinter;iron sinter;kilogram;0.08729044398301246;0.0002715490722926668;0.0003377910140879688;1.154718136458155e-09;3.580973091946318e-10;3.204827584602136e-14;1.173324418886156e-09;3.044525301768578e-12;7.057536843233034e-13;1.734154625906366e-11;4.721580381811327e-11;1.0963182786403324e-14;3.687830661379549e-11;2.234717670553085e-10;2.969475991911241e-16;6.6370741859744145e-12;3.888086968451584e-07;3.645079468421969e-08;3.342757968967686e-08;1.797525223706395e-11;3.5618961109997e-11;5.968255232393014e-07;1.5162256300146717e-09;1.0914299302839493e-09;0.014373915086113777;0.15873189615255784;1.8601224293352742e-09;1.0581737513565086e-06;0.1731058112453087;
5476628aa6cfea08250146aed94cbc0d;GLO;SSP5-Base-2040;5476628aa6cfea08250146aed94cbc0d;market for air filter, decentralized unit, 250 m3/h;air filter, decentralized unit, 250 m3/h;unit;0.1774851090536052;0.0006192288212316099;0.000411607291454173;6.574028615919649e-09;1.5402765380696842e-10;2.7297135160523014e-14;9.99430337286668e-10;9.999383338800348e-12;2.0396854782491485e-12;2.259638097015188e-11;7.564847916971062e-11;2.129017560095374e-14;3.6932247127711125e-10;6.087295707452251e-11;1.0946487697916044e-15;2.446648874240055e-11;3.311753751709021e-07;5.345809786781725e-08;6.732475936206393e-08;1.0231981767652385e-10;3.580912948521655e-10;1.657777680723931e-07;4.0931053912346864e-10;4.023377975620868e-09;0.028871198513515262;0.0007338480759348923;1.6939824239776642e-09;6.226275846742585e-07;0.029605046613916643;
d8df5bd8a8623ef92ee10dd07f6ee7de;GLO;SSP5-Base-2040;d8df5bd8a8623ef92ee10dd07f6ee7de;market for graphite, battery grade;graphite, battery grade;kilogram;0.41333072750821487;0.0007456980185099704;0.0009771762596093836;2.125575312468892e-08;1.2843402187345045e-09;1.1670468846891751e-13;4.277373400362011e-09;4.5367728560495393e-11;9.71197873726455e-12;6.758676553990515e-11;1.186704288917825e-09;2.010500033911486e-13;4.2720896257316624e-10;9.021967577804723e-10;3.74674511616063e-15;8.374347985851209e-11;1.4164059087493285e-06;4.7538378428099564e-07;5.430213243400973e-07;3.25691709443781e-10;1.4559190332577247e-10;3.141290562832016e-06;5.122041685395477e-09;1.3771149428593039e-08;0.12376316857059776;0.049334137822071376;8.200807541133071e-09;5.5954647366458415e-06;0.17309730647641258;
fb3e1542af3742d3c552922bc5243917;GLO;SSP5-Base-2040;fb3e1542af3742d3c552922bc5243917;market for tilapia feed, 24-28% protein;tilapia feed, 24-28% protein;kilogram;0.5371982430951567;0.0006825834439175586;0.0012246603707473502;3.3536862728341767e-09;1.0070288129889413e-09;1.2753809844889634e-13;4.668686010304218e-09;5.056120704301583e-11;6.62055509405383e-12;9.733111878786486e-11;1.6290829509064862e-10;2.6639283334898354e-12;1.0877377687901471e-08;3.431768612783167e-10;2.297769930616343e-13;5.1357443311021035e-09;1.5479889818178995e-06;1.314795871429266e-07;7.052160350220402e-08;5.160968139238676e-11;2.7496446173098005e-09;9.725113595908246e-07;2.3266650252753095e-09;8.445445869953042e-07;0.04557332113971416;0.0026434985634397274;1.7216689290323932e-08;3.5721666044368935e-06;0.04821682483889822;
c27991023e8548170fcb6a28224e31a6;GLO;SSP5-Base-2040;c27991023e8548170fcb6a28224e31a6;market for boric oxide;boric oxide;kilogram;2.1720936279503196;0.015710605865480495;0.0066920059292031875;3.1898408347694025e-08;5.864621444711071e-09;2.3045416581011587e-13;8.437475035477481e-09;4.3461517811528756e-10;8.68371684577465e-11;8.83996056827976e-10;8.768360661184047e-10;1.807484565731472e-13;1.0606594201745672e-09;1.6458374181412386e-09;2.7271686613643996e-14;6.095493202317523e-10;2.7959161254829267e-06;8.795476344204451e-07;2.6620570412548165e-06;4.981994987697872e-10;4.646669504919618e-10;5.584219937695434e-06;1.1267959871641978e-08;1.0023699501371442e-07;0.27817583128269485;0.034323570023567014;1.9291309419001047e-08;1.2034206368089748e-05;0.31249940191581116;
