X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Zirconium,Ecosystem Quality,1578,0.650604912772242,1.3360553926272167e-190,0.4232867525233762,0.4360612840911755,-0.13776038733384688,0.7281814522254728
Zirconium,Human Health,1576,0.6291235595343293,1.9744534332429823e-174,0.395796453161145,0.47482466455487116,2.9030413296536133,799.9103748912643
Zirconium,Natural Resources,1578,0.5022507893632092,1.314440248081901e-101,0.2522558554159666,0.39187804429351164,6.535417759359624,3430976.625875516
Zinc,Ecosystem Quality,1578,0.8037177778128222,0.0,0.6459622663723812,0.5544570132344361,-4.947164468811758,1.129368138085291e-05
Zinc,Human Health,1576,0.8561988350160101,0.0,0.7330764450827727,0.6653681998196633,-2.3546302543350275,0.004419465476409156
Zinc,Natural Resources,1578,0.7692070831474058,7.68710207146718e-309,0.5916795367641402,0.6177428026492098,2.1748220487036782,149.56227021104553
Water,Ecosystem Quality,1578,0.8465961240773509,0.0,0.7167249973027938,0.6356965425017927,-7.168469536695197,6.784697096469973e-08
Water,Human Health,1576,0.8945651090995308,0.0,0.8002467344182557,0.7573124331398211,-5.000140947573282,9.99675508877503e-06
Water,Natural Resources,1578,0.8256556481016217,0.0,0.681707249242109,0.7217264848338684,-0.3508825161353606,0.44577682211639297
Waste - Total,Ecosystem Quality,1578,0.8333693567771427,0.0,0.6945044848151484,0.6432702509444311,-7.335365154249386,4.6199241541570244e-08
Waste - Total,Human Health,1576,0.8832641701945992,0.0,0.7801555943495541,0.7684592634528388,-5.207227618340859,6.2054371544786725e-06
Waste - Total,Natural Resources,1578,0.8421611549604636,0.0,0.7092354109243417,0.7567479593173114,-0.6458005753523084,0.22604735237963497
Waste - Recycled,Ecosystem Quality,1578,0.8575861268113878,0.0,0.7354539648993577,0.6997415137150176,-6.02648395925301,9.408405795156112e-07
Waste - Recycled,Human Health,1576,0.8851916364253652,0.0,0.7835642331974161,0.8137008034753338,-3.6032510609999386,0.00024931530451344057
Waste - Recycled,Natural Resources,1578,0.8079936407303713,0.0,0.6528537234607206,0.7674815589808357,0.994113500345793,9.865372777433432
Waste - Radioactive,Ecosystem Quality,1578,0.8183556264478459,0.0,0.669705931338846,0.5534403067274025,-4.164385505883809,6.848800158861777e-05
Waste - Radioactive,Human Health,1576,0.881061061915405,0.0,0.7762685948235009,0.671618305950208,-1.4077269880306518,0.03910866686333162
Waste - Radioactive,Natural Resources,1578,0.8508023749537581,0.0,0.7238646812269551,0.6698190874964922,3.1050278328742413,1273.5846993387934
Waste - Openly Burned,Ecosystem Quality,1578,0.7917536463003161,0.0,0.6268738364298458,0.640628981003627,-4.926718479473413,1.1838086814077868e-05
Waste - Openly Burned,Human Health,1576,0.8066884270432613,0.0,0.650746218325531,0.7353614698037606,-2.321938883392062,0.00476498037840972
Waste - Openly Burned,Natural Resources,1578,0.733250502892228,2.6914132826545125e-266,0.5376562999917056,0.6906674548186874,2.2033028751781965,159.69924949405194
Waste - Landfilled,Ecosystem Quality,1578,0.8642491996638156,0.0,0.7469266791195459,0.8493787994724593,-7.183492765705603,6.55401203139498e-08
